date,year,month,day,full_path,status,missing_list,meta_size
2003-01-15,2003,1,15,/nrp/sio/embeddings_modis_2002-2022/2003/01/15/,OK,,797076
2003-01-16,2003,1,16,/nrp/sio/embeddings_modis_2002-2022/2003/01/16/,OK,,846507
2003-01-17,2003,1,17,/nrp/sio/embeddings_modis_2002-2022/2003/01/17/,OK,,802452
2003-01-18,2003,1,18,/nrp/sio/embeddings_modis_2002-2022/2003/01/18/,OK,,866831
2003-01-19,2003,1,19,/nrp/sio/embeddings_modis_2002-2022/2003/01/19/,OK,,839009
2003-01-20,2003,1,20,/nrp/sio/embeddings_modis_2002-2022/2003/01/20/,OK,,855658
2003-01-21,2003,1,21,/nrp/sio/embeddings_modis_2002-2022/2003/01/21/,OK,,853366
2003-01-22,2003,1,22,/nrp/sio/embeddings_modis_2002-2022/2003/01/22/,OK,,840206
2003-01-23,2003,1,23,/nrp/sio/embeddings_modis_2002-2022/2003/01/23/,OK,,874446
2003-01-24,2003,1,24,/nrp/sio/embeddings_modis_2002-2022/2003/01/24/,OK,,823243
2003-01-25,2003,1,25,/nrp/sio/embeddings_modis_2002-2022/2003/01/25/,OK,,882319
2003-01-26,2003,1,26,/nrp/sio/embeddings_modis_2002-2022/2003/01/26/,OK,,831899
2003-01-27,2003,1,27,/nrp/sio/embeddings_modis_2002-2022/2003/01/27/,OK,,866731
2003-01-28,2003,1,28,/nrp/sio/embeddings_modis_2002-2022/2003/01/28/,OK,,847349
2003-01-29,2003,1,29,/nrp/sio/embeddings_modis_2002-2022/2003/01/29/,OK,,846392
2003-01-30,2003,1,30,/nrp/sio/embeddings_modis_2002-2022/2003/01/30/,OK,,862429
2003-01-31,2003,1,31,/nrp/sio/embeddings_modis_2002-2022/2003/01/31/,OK,,830631
2003-02-01,2003,2,1,/nrp/sio/embeddings_modis_2002-2022/2003/02/01/,OK,,880651
2003-02-02,2003,2,2,/nrp/sio/embeddings_modis_2002-2022/2003/02/02/,OK,,822720
2003-02-03,2003,2,3,/nrp/sio/embeddings_modis_2002-2022/2003/02/03/,OK,,870544
2003-02-04,2003,2,4,/nrp/sio/embeddings_modis_2002-2022/2003/02/04/,OK,,536434
2003-02-05,2003,2,5,/nrp/sio/embeddings_modis_2002-2022/2003/02/05/,OK,,854940
2003-02-06,2003,2,6,/nrp/sio/embeddings_modis_2002-2022/2003/02/06/,OK,,854018
2003-02-07,2003,2,7,/nrp/sio/embeddings_modis_2002-2022/2003/02/07/,OK,,837711
2003-02-08,2003,2,8,/nrp/sio/embeddings_modis_2002-2022/2003/02/08/,OK,,871004
2003-02-09,2003,2,9,/nrp/sio/embeddings_modis_2002-2022/2003/02/09/,OK,,823681
2003-02-10,2003,2,10,/nrp/sio/embeddings_modis_2002-2022/2003/02/10/,OK,,877935
2003-02-11,2003,2,11,/nrp/sio/embeddings_modis_2002-2022/2003/02/11/,OK,,826504
2003-02-12,2003,2,12,/nrp/sio/embeddings_modis_2002-2022/2003/02/12/,OK,,498309
2003-02-13,2003,2,13,/nrp/sio/embeddings_modis_2002-2022/2003/02/13/,OK,,842979
2003-02-14,2003,2,14,/nrp/sio/embeddings_modis_2002-2022/2003/02/14/,OK,,849392
2003-02-15,2003,2,15,/nrp/sio/embeddings_modis_2002-2022/2003/02/15/,OK,,859018
2003-02-16,2003,2,16,/nrp/sio/embeddings_modis_2002-2022/2003/02/16/,OK,,834001
2003-02-17,2003,2,17,/nrp/sio/embeddings_modis_2002-2022/2003/02/17/,OK,,878733
2003-02-18,2003,2,18,/nrp/sio/embeddings_modis_2002-2022/2003/02/18/,OK,,822016
2003-02-19,2003,2,19,/nrp/sio/embeddings_modis_2002-2022/2003/02/19/,OK,,875349
2003-02-20,2003,2,20,/nrp/sio/embeddings_modis_2002-2022/2003/02/20/,OK,,836489
2003-02-21,2003,2,21,/nrp/sio/embeddings_modis_2002-2022/2003/02/21/,OK,,860161
2003-02-22,2003,2,22,/nrp/sio/embeddings_modis_2002-2022/2003/02/22/,OK,,852194
2003-02-23,2003,2,23,/nrp/sio/embeddings_modis_2002-2022/2003/02/23/,OK,,841821
2003-02-24,2003,2,24,/nrp/sio/embeddings_modis_2002-2022/2003/02/24/,OK,,869127
2003-02-25,2003,2,25,/nrp/sio/embeddings_modis_2002-2022/2003/02/25/,OK,,825287
2003-02-26,2003,2,26,/nrp/sio/embeddings_modis_2002-2022/2003/02/26/,OK,,880176
2003-02-27,2003,2,27,/nrp/sio/embeddings_modis_2002-2022/2003/02/27/,EMPTY_FILE,['t2v'],826527
2003-02-28,2003,2,28,/nrp/sio/embeddings_modis_2002-2022/2003/02/28/,OK,,867137
2003-03-01,2003,3,1,/nrp/sio/embeddings_modis_2002-2022/2003/03/01/,OK,,841186
2003-03-02,2003,3,2,/nrp/sio/embeddings_modis_2002-2022/2003/03/02/,OK,,850099
2003-03-03,2003,3,3,/nrp/sio/embeddings_modis_2002-2022/2003/03/03/,OK,,859736
2003-03-04,2003,3,4,/nrp/sio/embeddings_modis_2002-2022/2003/03/04/,OK,,828964
2003-03-05,2003,3,5,/nrp/sio/embeddings_modis_2002-2022/2003/03/05/,OK,,873458
2003-03-06,2003,3,6,/nrp/sio/embeddings_modis_2002-2022/2003/03/06/,OK,,815910
2003-03-07,2003,3,7,/nrp/sio/embeddings_modis_2002-2022/2003/03/07/,OK,,869395
2003-03-08,2003,3,8,/nrp/sio/embeddings_modis_2002-2022/2003/03/08/,OK,,827941
2003-03-09,2003,3,9,/nrp/sio/embeddings_modis_2002-2022/2003/03/09/,OK,,854869
2003-03-10,2003,3,10,/nrp/sio/embeddings_modis_2002-2022/2003/03/10/,OK,,842740
2003-03-11,2003,3,11,/nrp/sio/embeddings_modis_2002-2022/2003/03/11/,EMPTY_FILE,['var'],836293
2003-03-12,2003,3,12,/nrp/sio/embeddings_modis_2002-2022/2003/03/12/,OK,,859522
2003-03-13,2003,3,13,/nrp/sio/embeddings_modis_2002-2022/2003/03/13/,OK,,822315
2003-03-14,2003,3,14,/nrp/sio/embeddings_modis_2002-2022/2003/03/14/,OK,,281535
2003-03-15,2003,3,15,/nrp/sio/embeddings_modis_2002-2022/2003/03/15/,OK,,817945
2003-03-16,2003,3,16,/nrp/sio/embeddings_modis_2002-2022/2003/03/16/,OK,,865821
2003-03-17,2003,3,17,/nrp/sio/embeddings_modis_2002-2022/2003/03/17/,OK,,835585
2003-03-18,2003,3,18,/nrp/sio/embeddings_modis_2002-2022/2003/03/18/,OK,,845657
2003-03-19,2003,3,19,/nrp/sio/embeddings_modis_2002-2022/2003/03/19/,OK,,853115
2003-03-20,2003,3,20,/nrp/sio/embeddings_modis_2002-2022/2003/03/20/,OK,,830412
2003-03-21,2003,3,21,/nrp/sio/embeddings_modis_2002-2022/2003/03/21/,OK,,853197
2003-03-22,2003,3,22,/nrp/sio/embeddings_modis_2002-2022/2003/03/22/,OK,,818934
2003-03-23,2003,3,23,/nrp/sio/embeddings_modis_2002-2022/2003/03/23/,OK,,874620
2003-03-24,2003,3,24,/nrp/sio/embeddings_modis_2002-2022/2003/03/24/,OK,,825223
2003-03-25,2003,3,25,/nrp/sio/embeddings_modis_2002-2022/2003/03/25/,OK,,856647
2003-03-26,2003,3,26,/nrp/sio/embeddings_modis_2002-2022/2003/03/26/,OK,,843965
2003-03-27,2003,3,27,/nrp/sio/embeddings_modis_2002-2022/2003/03/27/,OK,,842581
2003-03-28,2003,3,28,/nrp/sio/embeddings_modis_2002-2022/2003/03/28/,OK,,858761
2003-03-29,2003,3,29,/nrp/sio/embeddings_modis_2002-2022/2003/03/29/,OK,,826531
2003-03-30,2003,3,30,/nrp/sio/embeddings_modis_2002-2022/2003/03/30/,OK,,873265
2003-03-31,2003,3,31,/nrp/sio/embeddings_modis_2002-2022/2003/03/31/,OK,,814157
2003-04-01,2003,4,1,/nrp/sio/embeddings_modis_2002-2022/2003/04/01/,OK,,861223
2003-04-02,2003,4,2,/nrp/sio/embeddings_modis_2002-2022/2003/04/02/,OK,,829331
2003-04-03,2003,4,3,/nrp/sio/embeddings_modis_2002-2022/2003/04/03/,OK,,844712
2003-04-04,2003,4,4,/nrp/sio/embeddings_modis_2002-2022/2003/04/04/,OK,,845598
2003-04-05,2003,4,5,/nrp/sio/embeddings_modis_2002-2022/2003/04/05/,OK,,826805
2003-04-06,2003,4,6,/nrp/sio/embeddings_modis_2002-2022/2003/04/06/,OK,,861545
2003-04-07,2003,4,7,/nrp/sio/embeddings_modis_2002-2022/2003/04/07/,OK,,816342
2003-04-08,2003,4,8,/nrp/sio/embeddings_modis_2002-2022/2003/04/08/,OK,,870393
2003-04-09,2003,4,9,/nrp/sio/embeddings_modis_2002-2022/2003/04/09/,OK,,819000
2003-04-10,2003,4,10,/nrp/sio/embeddings_modis_2002-2022/2003/04/10/,OK,,855803
2003-04-11,2003,4,11,/nrp/sio/embeddings_modis_2002-2022/2003/04/11/,OK,,837445
2003-04-12,2003,4,12,/nrp/sio/embeddings_modis_2002-2022/2003/04/12/,OK,,835692
